timestamp,ip,cnt_last_1m,cnt_last_5m,cnt_last_15m,succ_count,fail_count,total_count,fail_rate,event_user,event_result
2025-10-01 00:00:00,03f9bd4f10929a02a91e174585d9bafe0e4aa3bb9ff582851a058a917742f474,6,10,134,7,3,2,0.200005672849223,bob,success
2025-10-01 00:01:00,3ca26d4fa276fb9e1e9ea60eeb7be18eff92064356f7bdf268adc8e63c06f005,0,42,116,4,2,12,0.839458167415319,dave,success
2025-10-01 00:02:00,4bd2252f3149147e90a7e7ab7c3f67e0bdc94a31eb35f40ba058d1a2d4fc5df3,4,5,56,0,4,9,0.7909433601245475,bob,success
2025-10-01 00:03:00,3ca26d4fa276fb9e1e9ea60eeb7be18eff92064356f7bdf268adc8e63c06f005,0,40,33,5,0,14,0.1694112476832849,dave,success
2025-10-01 00:04:00,03f9bd4f10929a02a91e174585d9bafe0e4aa3bb9ff582851a058a917742f474,9,8,60,9,4,7,0.6142589642695823,dave,success
2025-10-01 00:05:00,3ca26d4fa276fb9e1e9ea60eeb7be18eff92064356f7bdf268adc8e63c06f005,2,4,135,3,0,4,0.8538307320517611,charlie,success
2025-10-01 00:06:00,4bd2252f3149147e90a7e7ab7c3f67e0bdc94a31eb35f40ba058d1a2d4fc5df3,0,2,92,7,3,7,0.1533685103258014,dave,success
2025-10-01 00:07:00,3ca26d4fa276fb9e1e9ea60eeb7be18eff92064356f7bdf268adc8e63c06f005,3,18,43,6,3,8,0.2813924527999401,alice,success
2025-10-01 00:08:00,4bd2252f3149147e90a7e7ab7c3f67e0bdc94a31eb35f40ba058d1a2d4fc5df3,0,20,30,7,1,7,0.6700324449843671,bob,success
2025-10-01 00:09:00,03f9bd4f10929a02a91e174585d9bafe0e4aa3bb9ff582851a058a917742f474,7,34,132,6,3,8,0.5365250467736085,dave,success
2025-10-01 00:10:00,4bd2252f3149147e90a7e7ab7c3f67e0bdc94a31eb35f40ba058d1a2d4fc5df3,8,5,5,6,1,14,0.0066266431319652,dave,failed
2025-10-01 00:11:00,4bd2252f3149147e90a7e7ab7c3f67e0bdc94a31eb35f40ba058d1a2d4fc5df3,6,36,40,4,3,13,0.4741710812837849,charlie,success
2025-10-01 00:12:00,4bd2252f3149147e90a7e7ab7c3f67e0bdc94a31eb35f40ba058d1a2d4fc5df3,7,34,87,8,3,12,0.8575398890313826,alice,success
2025-10-01 00:13:00,1618cd620c2f803a71058778e74b4199e6901e0a84e802528237386f9bab0980,1,16,143,0,0,10,0.0967342814364667,charlie,failed
2025-10-01 00:14:00,03f9bd4f10929a02a91e174585d9bafe0e4aa3bb9ff582851a058a917742f474,3,28,108,0,3,11,0.1624546117968714,dave,success
2025-10-01 00:15:00,03f9bd4f10929a02a91e174585d9bafe0e4aa3bb9ff582851a058a917742f474,4,49,86,9,1,4,0.1798311837678532,bob,success
2025-10-01 00:16:00,3ca26d4fa276fb9e1e9ea60eeb7be18eff92064356f7bdf268adc8e63c06f005,1,30,34,5,1,14,0.9580487262779428,dave,success
2025-10-01 00:17:00,1618cd620c2f803a71058778e74b4199e6901e0a84e802528237386f9bab0980,1,27,121,7,1,3,0.8321606896654004,bob,success
2025-10-01 00:18:00,03f9bd4f10929a02a91e174585d9bafe0e4aa3bb9ff582851a058a917742f474,6,1,141,4,4,5,0.3804093144007173,dave,success
2025-10-01 00:19:00,1618cd620c2f803a71058778e74b4199e6901e0a84e802528237386f9bab0980,9,6,99,7,1,7,0.7345898843029105,alice,success
2025-10-01 00:20:00,03f9bd4f10929a02a91e174585d9bafe0e4aa3bb9ff582851a058a917742f474,5,0,82,2,3,7,0.1059832190264322,charlie,success
2025-10-01 00:21:00,03f9bd4f10929a02a91e174585d9bafe0e4aa3bb9ff582851a058a917742f474,6,16,25,1,1,5,0.6426760953524049,bob,failed
2025-10-01 00:22:00,4bd2252f3149147e90a7e7ab7c3f67e0bdc94a31eb35f40ba058d1a2d4fc5df3,0,6,41,6,0,4,0.627475830840495,bob,success
